Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Force Beam 1 (N),Force Beam 2 (N),Force Beam 3 (N),Force Beam 4 (N),Normal Force (N),Parallel Force (N),Force Beam 1 (N),Force Beam 2 (N),Force Beam 3 (N),Force Beam 4 (N),Normal Force (N),Parallel Force (N)
2/20/2019 21:03,"0,112","64,98","93,76","5,50","80,54","244,79","29,60","106,60","87,45","27,83","84,34","306,22","-18,03"
2/20/2019 21:03,"0,113","65,07","93,68","5,61","80,60","244,95","29,60","106,35","87,53","27,80","84,24","305,92","-18,03"
2/20/2019 21:03,"0,114","65,09","93,79","5,47","80,71","245,06","29,78","106,35","87,23","27,83","84,21","305,61","-17,94"
2/20/2019 21:03,"0,115","65,01","93,81","5,72","80,60","245,15","29,86","106,35","87,31","27,72","84,50","305,88","-18,07"
2/20/2019 21:03,"0,116","65,07","93,68","5,34","80,60","244,68","29,60","106,57","86,93","27,83","84,00","305,32","-18,03"
2/20/2019 21:03,"0,117","65,15","93,90","5,56","80,63","245,23","29,47","106,48","87,15","27,66","84,32","305,61","-18,20"
2/20/2019 21:03,"0,118","65,09","93,70","5,67","80,76","245,23","29,52","106,29","87,04","27,66","84,29","305,28","-17,98"
2/20/2019 21:03,"0,119","64,93","93,92","5,58","80,65","245,09","29,47","106,35","87,04","27,83","84,42","305,63","-18,11"
2/20/2019 21:03,"0,120","65,09","93,98","5,78","80,60","245,45","29,65","106,54","87,01","27,61","84,32","305,48","-17,98"
2/20/2019 21:03,"0,121","65,15","94,06","5,45","81,04","245,69","29,60","106,35","86,93","27,77","84,19","305,23","-17,85"
2/20/2019 21:03,"0,122","65,07","94,01","5,58","80,68","245,34","29,60","106,46","87,12","27,64","84,21","305,42","-18,07"
2/20/2019 21:03,"0,123","65,07","94,20","5,45","80,65","245,36","29,65","106,35","86,84","27,61","84,32","305,12","-18,11"
2/20/2019 21:03,"0,124","65,07","94,03","5,47","80,68","245,25","29,73","106,54","86,79","27,61","84,42","305,36","-18,07"
2/20/2019 21:03,"0,125","64,98","93,90","5,61","80,57","245,06","29,52","106,43","86,76","27,33","84,19","304,71","-17,98"
2/20/2019 21:03,"0,126","65,23","94,22","5,61","80,71","245,78","29,91","106,40","86,82","27,55","84,16","304,93","-17,94"
2/20/2019 21:03,"0,127","65,20","94,25","5,39","80,60","245,45","29,52","106,46","86,49","27,61","84,24","304,79","-18,07"
2/20/2019 21:03,"0,128","65,01","94,14","5,42","80,79","245,36","29,60","106,65","86,71","27,47","84,24","305,07","-18,29"
2/20/2019 21:03,"0,129","65,09","94,33","5,61","80,76","245,80","29,78","106,48","86,98","27,42","84,29","305,17","-18,20"
2/20/2019 21:03,"0,130","65,26","94,20","5,67","80,82","245,94","29,43","106,46","86,82","27,53","84,29","305,09","-18,11"
2/20/2019 21:03,"0,131","65,20","94,09","5,78","80,76","245,83","29,56","106,57","86,60","27,39","84,40","304,95","-18,16"
2/20/2019 21:03,"0,132","65,09","94,22","5,67","80,43","245,42","29,65","106,46","86,62","27,28","84,32","304,68","-18,11"
2/20/2019 21:03,"0,133","65,31","94,42","5,34","80,98","246,05","29,60","106,57","86,73","27,53","84,32","305,15","-18,11"
2/20/2019 21:03,"0,134","65,37","94,25","5,67","80,71","246,00","29,52","106,51","86,54","27,12","84,37","304,54","-18,07"
2/20/2019 21:03,"0,135","65,20","94,22","5,67","81,04","246,13","29,60","106,51","86,43","27,25","84,40","304,59","-18,11"
