Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N)
0.71,1.16,-0.33,-0.06,221.84,394.9,-0.46,2.56
-0.17,0.59,-0.06,-0.06,222.64,395.17,-0.16,2.59
-0.09,1.22,-0.5,-0.39,222.64,395.39,-0.33,2.18
-0.04,0.92,-0.41,0.08,222.6,396.48,-0.27,2.38
-0.02,1.08,-0.25,-0.01,222.91,396.56,-0.27,2.16
-0.23,0.95,-0.97,0.05,223.91,397.4,-0.22,2.32
-0.09,1.31,-0.25,0.16,224.6,398.16,-0.41,2.43
0.36,0.71,-0.57,0.24,225.41,398.71,0.32,2.4
0.39,1.03,-1.16,0.76,226.58,399.82,-0.14,2.16
0.47,1.27,-0.14,0.27,227.05,399.92,-0.03,2.02
0.23,1.28,-0.33,-0.31,228.36,400.5,-0.19,2.35
-0.29,1.09,-0.25,0.21,229.08,400.5,-0.41,2
0.12,1.23,-0.7,0.02,230.26,401.38,-0.3,1.88
-0.08,1.11,-0.11,-0.2,231.33,401.56,-0.12,2.49
-0.13,0.87,0.22,0.21,233.66,401.73,-0.3,1.93
-0.15,1.28,-0.11,0.35,236.15,401.81,-0.27,2.43
-0.04,1.06,0,-0.2,238.04,402.35,-0.14,2.13
0.01,1.14,-0.35,0.18,240.38,402.62,-0.24,1.86
-0.48,1.22,-0.49,0.48,242.9,402.57,-0.48,2.02
-0.24,0.95,-0.45,-0.52,246.56,402.85,-0.38,2.18
0.25,1.69,-0.49,-0.17,248.95,402.85,-0.1,1.91
-0.07,0.66,-0.19,0.13,252.36,402.6,-0.16,2.1
0.12,0.82,-0.33,0.59,255.68,403.06,-0.3,1.89
0.28,1.39,-0.71,0.58,259.44,403.29,-0.29,2.35
0.74,1.28,-0.49,0.36,262.7,403.09,0.14,1.86
-0.02,1.58,-0.2,-0.09,266.54,403.78,0.13,1.94
-0.4,1.31,-0.09,0.65,270.8,403.31,-0.32,1.85
0.28,1.5,-0.43,0.31,273.91,403.48,-0.1,1.91
0.2,1.26,0,0.37,277.52,403.57,-0.6,1.86
0.06,1.04,0,0.56,281.74,403.02,-0.28,1.88
0.01,1.36,-0.11,0.38,289.01,403.7,0.21,1.83
0.55,1.06,0.45,0.53,293.37,403.23,-0.38,1.89
0.11,1.61,-0.03,0.23,299.21,403.13,-0.01,1.91
-0.05,1.18,-0.21,0.83,306.05,402.47,-0.43,2.02
0.25,1.77,-0.73,0.45,314.78,402.06,0.45,1.91
-0.02,1.28,0.11,0.12,322.88,401.52,-0.19,2.08
-0.15,1.42,-0.25,0.32,331.5,401.51,-0.51,2.35
0.39,1.15,-0.11,0.48,337.23,402.96,-0.68,2.04
0.36,1.34,-0.41,0.34,335.91,403.17,-0.09,1.7
0.25,1.12,-0.36,0.5,332.35,403.57,-0.38,1.69
-0.43,1.23,-0.14,0.12,331.31,402.58,-0.19,1.87
-0.07,1.45,0,0.42,335,400.21,-0.32,1.77
-0.15,1.23,-0.32,0.5,344.75,398.33,-0.32,1.56
-0.06,1.75,-0.19,0.58,359.3,397.76,0.03,1.34
-0.12,1.34,-0.54,0.09,371.55,398.3,-1.16,0.68
-0.02,1.32,-0.45,-0.31,379.22,399.07,-2.22,-0.8
-0.16,0.63,-0.41,0.26,381.99,400.22,-2.78,-2.09
-0.16,1.42,-0.49,0.37,381.03,399.99,-4.18,-3.77
-0.26,0.96,-0.79,0.61,378.54,398.33,-5.14,-4.81
