fp1,fp2
383.57,409.04
383.8,409.48
384.01,409.45
384.08,409.01
384.16,408.99
383.93,409.24
384.54,409.16
384.24,408.88
384.39,408.64
384.68,408.67
385.03,408.2
385.3,408.45
385.43,408.26
384.88,408.04
385.36,408.24
385.28,407.66
385.1,408.1
385.21,407.66
385.04,407.72
385.21,407.61
385.21,407.67
385.17,407.87
384.87,407.4
384.97,407.1
384.88,407.07
384.6,407.57
384.87,407.44
385.09,406.83
384.51,406.7
384.65,406.34
384.65,406.46
384.98,406.46
384.69,406.43
384.55,406.3
384,406.19
384.11,405.97
383.9,405.81
383.97,405.76
383.72,405.62
383.55,405.32
384.08,405.1
383.82,405
383.39,405.3
383.46,405.25
383.29,405.09
383.55,405.67
383.19,405.67
383.26,405.2
383.31,405.23
383.55,405.92
383.42,405.18
382.86,405.6
383.13,405.85
382.99,405.19
383.37,405.74
383.04,406.35
383.12,406.1
383.3,406.79
383.23,406.71
383,407.35
382.75,407.79
383.16,407.08
383.44,407.63
382.98,407.8
382.94,408.51
383.16,408.6
382.94,408.93
383.16,409.04
383.35,409.59
383.36,409.87
383.46,409.76
383.15,410.61
383.21,410.29
383.05,410.4
383.33,410.92
383.22,411.61
383.92,411.25
383.36,411.78
383.33,412.19
383.81,412.03
383.32,412.14
383.34,412.96
383.47,412.77
383.38,412.91
383.36,412.96
383.42,413.71
383.9,413.43
383.79,413.77
383.08,413.9
383.31,413.35
383.13,414.1
383.3,413.93
383.71,414.65
383.27,414.26
382.86,414.48
383.22,414.32
383.32,414.65
383.53,414.15
383.13,414.4
382.81,414.26
383.02,414.37
383.42,414.12
383.07,414.12
382.67,414.01
382.64,413.9
382.35,413.98
382.62,413.63
382.48,413.38
382.7,412.72
382.52,413.02
382.51,412.93
382.39,412.74
382.18,412.49
382.27,412.58
382.25,412.58
382.06,412.41
381.92,411.97
382.06,412.08
381.92,411.47
381.98,411.3
381.43,412.1
381.64,410.92
381.42,410.78
381.38,411.3
381.4,410.97
381.3,410.53
381.33,410.64
381.23,410.56
381.4,410.36
381.18,409.95
381.24,409.73
380.99,409.67
381.47,409.56
381.52,409.23
381.5,409.23
381.57,409.04
381.61,409.34
381.49,409.23
381.84,408.92
381.67,408.57
381.51,408.82
382.06,408.51
382.19,408.54
382.38,408.48
382.44,408.21
382.47,407.82
382.21,407.79
382.38,407.98
382.13,407.79
382.73,407.18
383,407.3
383.14,406.97
383.08,407.1
383.27,407.05
383.24,407.15
383.14,407.24
382.73,406.74
383.19,407.38
383.25,406.77
382.98,407.1
382.95,407.04
383.16,407.21
382.73,407.21
383.25,407.21
383.19,406.49
383.21,407.21
383.16,406.9
383.37,406.65
383.25,406.98
383.1,407.37
382.97,407.07
382.97,407.31
383.05,407.37
383.26,407.48
383.09,407.72
383.02,407.83
383.16,407.89
383.64,408.11
383.12,408.3
382.73,408.58
382.5,408.88
383.23,408.55
383.14,409.02
383.59,409.04
383.42,408.79
383.67,409.45
383.15,408.71
383.35,409.87
383.04,409.59
382.69,409.5
382.96,410.11
382.73,410.11
382.68,409.97
382.33,410.05
382.73,410
382.25,409.92
382.22,410.35
382.11,410.46
382.29,410.38
382.55,410.71
382.27,409.8
382.05,410.35
382.47,410.93
382.11,410.35
381.64,410.24
381.61,410.54
381.99,410.21
381.82,410.1
381.53,410.68
381.63,410.27
381.44,410.13
381.35,410.29
381.34,410.32
381.07,410.4
381.29,410.48
381.2,410.73
380.85,410.07
380.82,410.26
380.91,410.67
380.63,410.26
381.14,410.45
380.39,410.78
380.66,410.73
380.87,411.06
380.85,410.73
380.56,410.45
381.08,410.48
380.29,410.89
380.8,410.83
380.72,410.83
380.82,410.97
380.6,411.11
380.66,411.88
380.53,411.6
380.88,411.8
380.58,411.88
381.16,412.07
380.43,412.15
380.81,412.45
380.72,412.81
380.89,412.98
380.98,412.76
380.84,413.22
380.96,413.33
380.7,413.36
381.46,413.91
381.38,413.74
380.58,413.9
381.18,414.1
380.82,414.04
380.8,414.64
381.09,414.45
381.38,414.48
380.74,414.61
381.24,414.67
381.42,414.28
